Un arbitr	Vpp fotodiodo	Err vpp fotod
570	71	4
580	77	4
590	79	4
600	82	4
610	85	4
615	85	4
620	86	4
625	86	4
630	87	4
635	89	4
640	91	4
645	92	4
650	93	4
655	94	4
660	95	4
665	96	4
670	98	4
675	98	4
676	99	4
677	99	4
678	99	4
679	99	4
680	99	4
681	99	4
682	99	4
683	99	4
684	99	4
685	99	4
686	99	4
687	99	4
688	99	4
689	99	4
690	100	4
691	99	4
692	99	4
693	99	4
694	99	4
695	99	4
696	99	4
697	99	4
698	99	4
699	99	4
700	99	4
701	99	4
702	99	4
703	99	4
704	99	4
705	99	4
710	99	4
715	98	4
720	97	4
725	96	4
730	95	4
740	92	4
750	87	4
760	78	4
770	68	4
780	58	4
790	48	4
800	40	4
